order_id,order_date,customername,state,city
B-26101,2019-04-01,Jesslyn,Maharashtra,Pune
B-26102,2019-04-02,Pooja,Uttar Pradesh,Lucknow
B-26103,2019-04-03,Ayush,Punjab,Amritsar
B-26104,2019-04-03,Sanjana,Maharashtra,Mumbai
B-26105,2019-04-03,Manjiri,Madhya Pradesh,Indore
B-26106,2019-04-04,Trupti,Madhya Pradesh,Bhopal
B-26107,2019-04-04,Snel,Gujarat,Ahmedabad
B-26108,2019-04-05,Utsav,Tamil Nadu,Chennai
B-26109,2019-04-05,Tejas,Sikkim,Gangtok
B-26110,2019-04-06,Sheetal,Bihar,Patna
B-26111,2019-04-06,Sudheer,Delhi,Delhi
B-26112,2019-04-07,Chandni,Jammu and Kashmir,Kashmir
B-26113,2019-04-08,Shikhar,Madhya Pradesh,Indore
B-26114,2019-04-08,Shivani,Madhya Pradesh,Bhopal
B-26115,2019-04-08,Sonal,Maharashtra,Pune
B-26116,2019-04-08,Anita,Sikkim,Gangtok
B-26117,2019-04-08,Divsha,Andhra Pradesh,Hyderabad
B-26118,2019-04-09,Shivam,Maharashtra,Mumbai
B-26119,2019-04-10,Noshiba,Rajasthan,Jaipur
B-26120,2019-04-10,Pearl,Madhya Pradesh,Indore
B-26121,2019-04-10,Ankur,Punjab,Amritsar
B-26122,2019-04-10,Yogesh,Madhya Pradesh,Bhopal
B-26123,2019-04-10,Anita,Jammu and Kashmir,Kashmir
B-26124,2019-04-11,Hazel,Andhra Pradesh,Hyderabad
B-26125,2019-04-11,Tanvi,Haryana,Chandigarh
B-26126,2019-04-11,Akshat,Maharashtra,Mumbai
B-26127,2019-04-11,Farah,Maharashtra,Mumbai
B-26128,2019-04-12,Anchal,Madhya Pradesh,Indore
B-26129,2019-04-13,Ashwin,Punjab,Chandigarh
B-26130,2019-04-14,Shyam,Rajasthan,Udaipur
B-26131,2019-04-15,Vishakha,Uttar Pradesh,Lucknow
B-26132,2019-04-15,Mohan,Maharashtra,Mumbai
B-26133,2019-04-16,Yaanvi,Haryana,Chandigarh
B-26134,2019-04-16,Surabhi,Andhra Pradesh,Hyderabad
B-26135,2019-04-17,Swetha,Maharashtra,Pune
B-26136,2019-04-17,Kanak,Delhi,Delhi
B-26137,2019-04-17,Shishu,Madhya Pradesh,Bhopal
